Slno,Requirements
1,Achieve a top speed of at least 150 km/h.
2,Ensure a minimum range of 500 km on a single charge/tank.
3,The vehicle should be extremely lightweight for easy handling.
4,The vehicle should have a very robust and durable frame.
5,Offer a very plush and comfortable suspension for long rides.
6,Provide a stiff suspension setup for sporty and responsive handling.
7,The overall dimensions should be compact for easy city maneuverability.
8,The vehicle should have a large and comfortable seat for two adults.
9,The manufacturing cost should be kept as low as possible.
10,Utilize premium quality materials for a high-end feel.
11,Design a very sleek and aerodynamic body.
12,The design should have a rugged and off-road focused aesthetic.
13,The vehicle must have zero tailpipe emissions.
14,The vehicle should have a high-performance engine with maximum power output.
15,Incorporate a large and vibrant digital instrument cluster with numerous features.
16,Use a simple and easy-to-read analog instrument cluster.
17,"Implement the most advanced safety features available, including ABS and traction control."
18,Minimize the number of electronic aids to reduce complexity and cost.
19,The design should prioritize maximum storage capacity.
20,The design should be as minimalist as possible.
21,The vehicle should have a very powerful and bright headlight.
22,The headlight design should be very small and integrated for aesthetics.
23,Ensure the vehicle has a very loud and attention-grabbing horn.
24,The horn should be subtle and not intrusive.
25,The seat height should be adjustable to accommodate riders of different heights.
26,Maintain a low seat height for maximum stability.
27,Offer a wide range of customization options for the customers.
28,Keep the design very standardized to reduce manufacturing complexity.
29,The vehicle should be equipped with tubeless tires.
30,The vehicle should be designed to accommodate off-road tires.
31,Integrate a sophisticated GPS navigation system.
32,Keep the technology simple and avoid complex electronics.
33,The braking system should provide extremely strong and immediate stopping power.
34,The braking system should be very smooth and progressive.
35,The vehicle should have a very high ground clearance.
36,Maintain a low center of gravity for better stability.
37,Design the vehicle for easy and low-cost maintenance.
38,Incorporate high-performance components that may require more frequent maintenance.
39,The fuel tank/battery capacity should be maximized.
40,The overall weight of the vehicle should be minimized.
41,Offer a very comfortable riding posture for long journeys.
42,Design a sporty and aggressive riding posture.
43,The vehicle should be available in a wide variety of vibrant colors.
44,Offer a limited palette of classic and sophisticated colors.
45,The design should incorporate ample space for luggage mounting.
46,Maintain a clean and uncluttered rear design.
47,The vehicle should have integrated speakers for music.
48,Avoid adding any unnecessary accessories to keep the cost down.
49,The design should be timeless and classic.
50,The design should be futuristic and cutting-edge.
51,The vehicle should be extremely fuel-efficient/energy-efficient.
52,The vehicle should offer exhilarating acceleration.
