,Requirement_1,Requirement_2,Conflict_Type,Conflict_Reason
0,Fuel efficiency of at least 60 km/l for petrol engines,Top speed of at least 100 km/h for versatility,Engineering Tradeoff,Achieving high fuel efficiency and high top speed are often conflicting goals in engine design; increasing power for higher speed usually compromises fuel economy.
1,Fuel efficiency of at least 60 km/l for petrol engines,Annual maintenance cost below $120,Engineering Tradeoff,"Higher fuel efficiency often requires more expensive engine components and increased maintenance, conflicting with the low annual maintenance cost target."
2,Fuel efficiency of at least 60 km/l for petrol engines,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,"Improving fuel efficiency often necessitates heavier engine components, conflicting with the lightweight frame requirement."
3,Anti-lock braking system (ABS) for improved stopping power,Electric motor with a minimum range of 120 km per charge,Engineering Tradeoff,"Increased braking power from ABS necessitates higher energy consumption, potentially reducing the electric motor's range."
4,Fuel efficiency of at least 60 km/l for petrol engines,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Increasing fuel efficiency often necessitates design choices that may conflict with emission reduction strategies, requiring careful optimization across multiple design parameters."
5,Anti-lock braking system (ABS) for improved stopping power,Top speed of at least 100 km/h for versatility,Engineering Tradeoff,"Increasing braking power (ABS) often necessitates compromises in vehicle weight and/or powertrain efficiency, potentially conflicting with the high-speed requirement."
6,Anti-lock braking system (ABS) for improved stopping power,Digital dashboard with smartphone connectivity,Resource Conflict,"Requirement 1 (ABS) demands high real-time processing power and interrupt priority, potentially conflicting with Requirement 2 (digital dashboard) for MCU resources and processing time."
7,Anti-lock braking system (ABS) for improved stopping power,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,"Increased braking system mass for ABS functionality conflicts with the lightweight frame requirement, necessitating optimization and potential compromises in design."
8,Anti-lock braking system (ABS) for improved stopping power,Annual maintenance cost below $120,Engineering Tradeoff,"High-performance ABS systems necessitate sophisticated sensors, actuators, and control algorithms, increasing initial cost and potentially long-term maintenance expenses, conflicting with the low annual maintenance budget."
9,Anti-lock braking system (ABS) for improved stopping power,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Improving braking power (Requirement 1) often necessitates more complex and power-hungry ABS systems, potentially conflicting with stringent emission standards (Requirement 2) that demand efficient energy management."
10,Electric motor with a minimum range of 120 km per charge,Top speed of at least 100 km/h for versatility,Engineering Tradeoff,"Achieving a 120km range and a 100km/h top speed requires a tradeoff in battery capacity, motor power, and vehicle aerodynamics, potentially leading to increased weight, cost, and/or reduced efficiency."
11,Electric motor with a minimum range of 120 km per charge,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,"Increased battery capacity for extended range conflicts with the need for a lightweight frame, requiring careful design optimization to balance these competing objectives."
12,Electric motor with a minimum range of 120 km per charge,Annual maintenance cost below $120,Engineering Tradeoff,"Achieving a 120km range requires a larger, more powerful motor and battery, increasing initial and maintenance costs, conflicting with the $120 annual maintenance budget."
13,Electric motor with a minimum range of 120 km per charge,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Increasing motor range often necessitates a larger battery, impacting vehicle weight and potentially conflicting with emission standards aiming for fuel efficiency and reduced emissions."
14,Top speed of at least 100 km/h for versatility,Annual maintenance cost below $120,Engineering Tradeoff,"Higher top speed necessitates more powerful (and likely more expensive to maintain)  mechanical and electrical components, conflicting with the low annual maintenance cost target."
15,Top speed of at least 100 km/h for versatility,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,"Achieving high speed necessitates a powerful motor and robust drivetrain, increasing weight, conflicting with the lightweight frame requirement."
16,Top speed of at least 100 km/h for versatility,Digital dashboard with smartphone connectivity,Engineering Tradeoff,"Requirement 1 prioritizes high speed requiring significant power and potentially impacting battery life, conflicting with Requirement 2's demand for power-consuming smartphone connectivity features in the digital dashboard."
17,Top speed of at least 100 km/h for versatility,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Achieving a top speed of 100 km/h may conflict with meeting stringent emission standards, requiring a trade-off between performance and environmental impact in the engine design."
18,Seat height adjustable between 750-850 mm for rider comfort,Annual maintenance cost below $120,Engineering Tradeoff,"Requirement 1 (seat height adjustment mechanism) increases manufacturing complexity and maintenance needs, potentially exceeding the $120 annual maintenance budget in Requirement 2."
19,Seat height adjustable between 750-850 mm for rider comfort,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,Increased structural rigidity needed for wider seat height adjustment range conflicts with the lightweight frame requirement.
20,Digital dashboard with smartphone connectivity,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Smartphone connectivity adds complexity and power consumption, potentially conflicting with emission reduction goals."
21,Digital dashboard with smartphone connectivity,Annual maintenance cost below $120,Engineering Tradeoff,"Smartphone connectivity necessitates hardware (e.g., Bluetooth module, cellular modem) and potentially recurring software updates increasing maintenance cost beyond the $120 limit."
22,Digital dashboard with smartphone connectivity,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,"Achieving smartphone connectivity necessitates additional hardware (e.g., communication modules, antennas) increasing the overall weight, potentially exceeding the 150kg weight limit."
23,Front and rear disc brakes for reliable performance,Annual maintenance cost below $120,Engineering Tradeoff,"High-performance disc brakes for both front and rear generally imply higher initial cost and more frequent/expensive maintenance than simpler brake systems, potentially exceeding the $120 annual budget."
24,Front and rear disc brakes for reliable performance,Lightweight frame under 150 kg for better handling,Engineering Tradeoff,"Increased braking system mass from disc brakes conflicts with the lightweight frame requirement, necessitating a design compromise between braking performance and vehicle weight."
25,Annual maintenance cost below $120,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Meeting stringent emission standards (Requirement 2) often necessitates advanced emission control technologies, which generally increase maintenance costs beyond the $120 annual budget (Requirement 1)."
26,Lightweight frame under 150 kg for better handling,"Compliance with global emission standards (e.g., BS6 or Euro 5)",Engineering Tradeoff,"Lighter frame reduces weight, potentially impacting structural rigidity and thus the ability to meet emission standards by affecting exhaust system design and engine mounting."
